node,weighted_degree
min,26.278174
te,25.278174
zimanê,23.255128
şaredariyeke,22.255128
ji,22.255128
navçeya,22.255128
xwe,20.670164999999997
jdb,15.627564
output,15.627564
parser,15.627564
paşa,15.627564
the,15.627564
azerbaycana,15.627564
bajarê,15.627564
navenda,15.627564
