node,weighted_degree
cinîyan,20.278106
yê,20.278106
kanalizasyoni,20.278106
şebekey,20.278106
ez,18.891812
ma,18.891812
mi,18.891812
cısım,18.891812
katalogê,18.891812
neweyê,18.891812
ke,10.8322
kurdan,10.8322
zî,10.8322
to,10.8322
xo,10.8322
