node,weighted_degree
min,70.921792
te,61.06117599999999
sala,55.90642799999997
komunên,49.46810999999998
tu,49.15623100000001
navçeya,46.606967999999995
ez,44.87593399999999
zimanê,42.67857
grand,41.512164
re,40.481345999999995
ew,39.382734
wî,39.228583
xwe,38.024609999999996
wê,37.842288999999994
de,36.129678
