node,weighted_degree
min,132.192885
te,127.510752
sala,105.65542300000001
tu,90.731567
komunên,76.33096
navçeya,74.944665
ez,73.55837
grand,71.648827
de,67.489943
xwe,57.24822
zimanê,57.24822
ew,57.24822
re,57.24822
wê,57.24822
wî,57.24822
