source	target	weight
2012	2013	4.859812
2012	2020î	4.859812
2012	mesac	4.859812
2012	utc	4.859812
2013	2020î	4.859812
2013	mesac	4.859812
2013	utc	4.859812
2020î	mesac	4.859812
2020î	utc	4.859812
mesac	utc	4.859812
dormeyê	endustriye	4.859812
dormeyê	keyeyê	4.859812
dormeyê	sereyê	4.859812
dormeyê	wareyê	4.859812
endustriye	keyeyê	4.859812
endustriye	sereyê	4.859812
endustriye	wareyê	4.859812
keyeyê	sereyê	4.859812
keyeyê	wareyê	4.859812
sereyê	wareyê	4.859812
asmênio	asmêniyo	2.662588
asmênio	cısmê	2.731581
asmênio	ngc	2.662588
asmênio	yew	2.220755
asmêniyo	cısmê	2.662588
asmêniyo	ngc	2.662588
asmêniyo	yew	2.220755
cısmê	ngc	2.662588
cısmê	yew	2.220755
ngc	yew	2.220755
bînî	efrînî	4.859812
bînî	hetê	4.859812
bînî	mêrdînî	4.859812
bînî	yewbînî	4.859812
efrînî	hetê	4.859812
efrînî	mêrdînî	4.859812
efrînî	yewbînî	4.859812
hetê	mêrdînî	4.859812
hetê	yewbînî	4.859812
mêrdînî	yewbînî	4.859812
ne	ni	4.859812
ne	nika	4.859812
ne	no	4.859812
ne	zî	4.166665
ni	nika	4.859812
ni	no	4.859812
ni	zî	4.166665
nika	no	4.859812
nika	zî	4.166665
no	zî	4.166665
kitab	kitabê	4.859812
kitab	kitabî	4.859812
kitab	roman	4.859812
kitab	romanê	4.859812
kitabê	kitabî	4.859812
kitabê	roman	4.859812
kitabê	romanê	4.859812
kitabî	roman	4.859812
kitabî	romanê	4.859812
roman	romanê	4.859812
jû	komuna	2.913902
jû	qezay	3.761200
jû	verduniya	4.859812
jû	yû	4.859812
komuna	qezay	1.815290
komuna	verduniya	2.913902
komuna	yû	2.913902
qezay	verduniya	3.761200
qezay	yû	3.761200
verduniya	yû	4.859812
alpes	auvergne	3.250374
alpes	gêna	1.864080
alpes	komune	1.276293
alpes	rhône	3.250374
auvergne	gêna	1.640937
auvergne	komune	1.053150
auvergne	rhône	3.250374
gêna	komune	2.439444
gêna	rhône	1.640937
komune	rhône	1.053150
anciyao	elektriki	3.068053
anciyao	interneti	2.662588
anciyao	kabloyu	3.761200
anciyao	xeta	2.844909
elektriki	interneti	3.068053
elektriki	kabloyu	3.473518
elektriki	xeta	3.250374
interneti	kabloyu	3.761200
interneti	xeta	2.844909
kabloyu	xeta	3.250374
edîtorî	nameyê	4.859812
edîtorî	newepelî	4.859812
edîtorî	rojnameyê	4.859812
edîtorî	vejîya	4.859812
nameyê	newepelî	4.859812
nameyê	rojnameyê	4.859812
nameyê	vejîya	4.859812
newepelî	rojnameyê	4.859812
newepelî	vejîya	4.859812
rojnameyê	vejîya	4.859812
pan	to	3.250374
pan	xwu	4.859812
pan	yo	4.859812
pan	yow	4.859812
to	xwu	3.250374
to	yo	3.250374
to	yow	3.250374
xwu	yo	4.859812
xwu	yow	4.859812
yo	yow	4.859812
erdê	gêno	3.068053
erdê	km	4.166665
erdê	komune	2.662588
erdê	komuni	4.166665
gêno	km	3.068053
gêno	komune	1.969441
gêno	komuni	3.068053
km	komune	2.662588
km	komuni	4.166665
komune	komuni	2.662588
fc	futboliyê	4.859812
fc	klub	4.859812
fc	klubê	4.859812
fc	tırkiyayo	4.859812
futboliyê	klub	4.859812
futboliyê	klubê	4.859812
futboliyê	tırkiyayo	4.859812
